P13010	Q9BUH6
P13010	P46063
P13010	Q8IW19
P12956	P13693
P12956	P15927
P12956	Q9BUH6
P12956	P49450
P12956	Q13426
P12956	P46063
O76064	Q9Y230
O76064	Q92889
O76064	P07992
O76064	Q9UMS4
O76064	P12270
P13693	Q13315
P13693	P16104
P49450	P60842
P49450	Q92841
P49450	Q9Y230
P49450	Q16576
P49450	O00571
P49450	P15924
P49450	P17844
P49450	P21333
P49450	P62805
P49450	Q09028
P49450	Q00839
P49450	Q8WWI1
P49450	P49736
P49450	Q9Y265
P49450	Q8NCD3
P46063	Q96QV6
P46063	Q99880
P46063	P09874
Q8IW19	P09874
Q00535	Q15078
P30990	P30989
P51532	P35222
P51532	O14746
P51532	P35232
P51532	Q12824
P51532	Q01201
P51532	Q969G3
P35222	P12931
P35222	P25054
P35222	O15169
P35222	Q13625
P35222	Q9Y3M2
P35222	Q8TEK3
P35222	Q16531
P35222	P35221
P35222	Q9Y297
P35222	P35869
P35222	O14746
P35222	O00482
P35222	P19022
P35222	P55197
P35222	P10275
P35222	Q01826
P35222	P29317
P35222	Q96EB6
P35222	P49789
P35222	P12830
P35222	P40337
P35222	Q9Y265
P35222	Q9UJU2
P35222	Q9Y2T1
O14746	Q8TAQ2
O14746	P51531
O14746	Q96AP0
O14746	O14773
O14746	Q969G3
P35232	Q01094
P35232	Q9HCU9
Q12824	Q969G3
Q12824	Q01201
Q01201	P52292
Q01201	Q92785
Q01201	Q8TAQ2
Q01201	O60684
Q01201	O96019
Q01201	Q9UBN7
Q01201	P51784
Q969G3	Q8TAQ2
Q969G3	P62157
Q969G3	Q96GM5
Q3LXA3	Q9BYX4
Q9BYX4	O94817
Q9BYX4	Q96C10
Q9BYX4	Q14164
Q14654	Q01484
Q14654	Q09428
Q01484	Q09428
Q96I24	Q9UHX1
Q9UHX1	Q96AE4
Q9ULT6	Q2MKA7
Q9ULT6	O60353
Q9ULT6	Q9BXB1
Q9ULT6	O75581
O75581	O15169
O75581	P09619
O75581	P56704
O75581	P22692
O75581	Q9UBU2
O75581	Q9BQB4
O75581	O94907
O75581	P57078
P17931	P31994
P17931	Q8WUM4
Q8WUM4	Q9H444
Q8WUM4	Q99961
Q8WUM4	O75340
Q8WUM4	Q9BY43
Q8WUM4	Q96CF2
Q8WUM4	Q90VU7
P78556	P51684
Q9H0E2	O60784
O60784	Q9UM54
P61981	P36405
P61981	P56524
P61981	P31946
P61981	P27348
P36405	Q9Y2Y0
P36405	P31946
P36405	A6NIH7
P36405	Q13432
P36405	O43924
P56524	O15379
P56524	O75376
P31946	P27348
P31946	P30307
P31946	P30304
P31946	P04049
Q96B97	Q13191
Q13191	P49116
Q13191	P62837
Q13191	Q9BXL7
P40238	P40225
Q99549	Q15047
Q99549	Q9UK61
Q15047	Q9UK61
Q15047	O43463
Q15047	Q9H9B1
P32927	P04141
P32927	P05113
P32927	P08700
P32927	P42336
P04141	Q99062
P05113	Q01344
P08700	P26951
P42336	O00459
P20701	P05362
Q9Y5U5	Q9UNG2
Q13882	P04626
Q13882	Q14956
P04626	P14625
P04626	P07900
P04626	Q93034
P04626	P21860
P04626	Q15303
Q15233	Q8WXF1
Q15233	Q53ET0
Q15233	O60356
Q53ET0	P18850
O60356	Q13765
O60356	P55036
O60356	P06454
O60356	P62945
O60356	Q15691
O60356	P35637
O60356	Q99547
O60356	P43487
Q9UK73	Q9NWT6
Q9NWT6	O75832
Q9NWT6	Q16665
Q9NWT6	Q13418
Q9NWT6	P55273
Q9NWT6	Q06547
Q9NWT6	P58546
Q9NWT6	O14974
Q9NWT6	O95271
Q8TDY2	Q9GZQ8
Q8TDY2	Q9BXW4
Q8TDY2	Q9H492
Q9GZQ8	Q9BQS8
Q9GZQ8	Q13501
Q9GZQ8	Q03135
Q9GZQ8	Q9UPN4
Q9GZQ8	Q96EB6
Q9GZQ8	Q9BSB4
Q9GZQ8	P46821
Q9GZQ8	O75143
Q9GZQ8	Q14145
Q9GZQ8	O75665
Q9GZQ8	P22681
Q9BXW4	Q9BSB4
Q9BXW4	O75143
Q9H492	O75143
Q9H492	Q9BSB4
Q969H0	P46531
Q969H0	P63208
P46531	Q16665
P46531	Q13315
P46531	Q92585
P46531	P78504
P46531	Q06330
P63208	P41002
P63208	P41182
P63208	Q9Y297
P63208	Q9UKT7
P63208	Q9UK97
P63208	Q13309
P63208	P57775
P63208	Q76N32
P63208	Q9UKT8
P63208	Q9Y3I1
P63208	Q9UKB1
P63208	Q9UK99
P63208	Q5XUX0
Q92759	P51946
Q92759	P19447
Q92759	P18074
Q92759	Q6ZYL4
Q92759	P32780
Q92759	Q13888
P51946	P10276
P51946	P10275
P19447	Q13888
P19447	P32780
P19447	Q6ZYL4
P19447	P43351
P19447	P18074
P19447	Q01831
P19447	Q13889
P18074	Q13888
P18074	P32780
P18074	Q6ZYL4
P18074	P43351
P18074	Q13889
Q6ZYL4	Q13888
Q6ZYL4	P32780
Q6ZYL4	Q13889
P32780	Q13888
P32780	Q13351
P32780	P29083
P32780	Q01831
Q13888	Q13216
Q13888	Q13889
Q9HB90	Q7L523
Q9HB90	Q5VZM2
Q9HB90	Q6IAA8
Q9HB90	Q8N122
Q9HB90	Q8NBW4
Q9HB90	Q9Y2Q5
Q7L523	Q8NBW4
Q7L523	Q9Y2Q5
Q7L523	Q6IAA8
Q5VZM2	Q8NBW4
Q5VZM2	Q6IAA8
Q5VZM2	Q9Y2Q5
Q6IAA8	Q9Y2Q5
Q6IAA8	Q8NBW4
Q8N122	Q9UK97
Q8N122	P42345
Q8N122	Q9Y4R8
Q8N122	Q9C0C7
Q8NBW4	Q9Y2Q5
Q8NBW4	P21281
Q8NBW4	P61421
Q9Y2Q5	P61421
Q9Y2Q5	P11279
Q9Y2Q5	P21281
Q7LBR1	O75351
Q7LBR1	O95630
Q7LBR1	Q9UN37
Q7LBR1	P53990
O75351	Q9UQN3
O75351	Q9HD42
O95630	Q9HD42
Q9UN37	Q9UQN3
Q9UN37	Q96K21
Q9UN37	Q9HD42
Q9UN37	Q96CF2
Q9H444	Q9H3S7
Q15545	O60563
Q15545	Q12962
Q15545	P08047
Q15545	P22415
Q15545	P25490
Q15545	P43268
Q15545	Q8WTS6
Q15545	Q16619
O60563	P23193
O60563	O60885
O60563	Q8N7H5
O60563	Q6P1J9
O60563	O94992
O60563	P49336
O60563	P50750
O60563	Q6PD62
Q12962	Q15544
Q12962	Q16514
Q12962	Q8WTS6
Q12962	Q5VWG9
Q12962	O00268
Q12962	P49848
Q12962	Q7Z7C8
Q12962	Q15543
Q12962	P20226
Q12962	Q15542
Q12962	Q16594
P08047	Q14192
P08047	Q13547
P08047	P04198
P08047	P25490
P08047	Q00403
P08047	Q9UL17
P08047	Q8N726
P25490	Q09472
P25490	P01106
P25490	Q00403
Q8WTS6	Q96EB6
Q8WTS6	P26358
Q86U44	Q9HCE5
Q7KZF4	Q6P2Q9
Q7KZF4	Q96J94
Q6P2Q9	O75643
Q96J94	Q9Y2W6
O15111	Q15796
O15111	Q99558
O15111	P07900
O15111	Q16543
O15111	Q13451
O15111	Q9Y6K9
O15111	O14965
O15111	O14920
Q13616	Q15843
Q13616	Q6PH85
Q13616	Q9Y297
Q13616	Q8IWE4
Q13616	P46527
Q13616	Q76N32
Q13616	Q96GG9
Q13616	Q9UKB1
Q13616	P62877
Q13616	O94888
Q13616	P41002
Q13616	Q5XUX0
Q13616	P41182
Q13616	Q13309
P52292	Q14974
P52292	P52298
P52434	Q96B02
O15446	O60934
O15160	P21333
O14920	O95999
O14920	O14965
O14920	P21580
O14920	Q99558
O14920	P07900
O14920	Q9UDY8
O14920	Q16543
O14920	Q9Y6K9
Q9UKB1	Q13127
Q9UKB1	Q76N32
Q9Y6K9	O95999
Q9Y6K9	O14965
Q9Y6K9	Q86YW3
Q9Y6K9	O95817
Q9Y6K9	Q9UHD2
Q9Y6K9	Q99558
Q9Y6K9	P07900
Q9Y6K9	Q16543
Q9Y6K9	Q9BYM8
Q9Y6K9	Q96EP0
Q9UHV7	P49336
Q9UHV7	Q15648
P49336	O60885
P49336	P50750
P49336	Q9NVC6
P49336	O95402
P49336	O60244
P49336	P24863
P49336	O75448
P49336	Q01094
P49336	Q15648
P49336	Q93074
P49336	Q9Y2X0
P49336	Q12772
Q15648	O60885
